code,印度尼西亚 Indonesian
code:string,in_id:string
g_version,1628256406114
g_room_closed,Kamar akan ditutup
g_room_list_empty,Kamar tidak tersedia
g_warning_set_chips,Anda belum menentukan jumlah chip
g_person,orang
g_warning_visitors,Fungsi ini hanya untuk pengguna terdaftar
g_visitors,Pengunjung
g_baccarat,Baccarat
g_sic_bo,Sic-Bo
g_roulette,Roulette
g_dragon_tiger,Naga Harimau
g_round,Ronde
g_round_no,No. Ronde
g_tie,Seri
g_shuffling,Kocok Kartu
g_odd,Gjl
g_even,Gnp
g_big,Bsr
g_small,Kcl
g_pair,Pair
g_dealer,Dealer
g_bet_began,Berhenti taruhan
g_bet_limit,Batas
g_room,Kamar
g_wait_payout,Perhitungan akhir
g_cancel,Batal
g_wait_1,Menunggu
g_custom,Kustom
g_name,Nama
g_first_col,Kolom Pertama
g_second_col,Kolom Kedua
g_third_col,Kolom Ketiga
g_zero,Nol
g_total_bet,Total taruhan
g_Red_Black,Merah/Hitam
g_waiting,Menunggu
g_open_card,Buka kartu
g_video_loading,Menghubungkan video
g_seat_tip,Anda duduk di kursi nomor %s
baccarat_micard,Tekan Kartu
baccarat_no_commission,Tanpa Komisi
mto_player_side,PEMAIN
mto_banker_side,BANKER
mto_tie_side,SERI
mto_banker_pair,"BANKER
PAIR"
mto_player_pair,"PEMAIN
PAIR"
baccarat_player_side,Pemain
baccarat_banker_side,Banker
baccarat_super6,"Banker 6 poin, bayar 0,5"
bacc_warning_player_not_enough,"Saldo Pemain tidak cukup, maksimum taruhan
 %s"
bacc_warning_banker_not_enough,"Saldo Banker tidak cukup, maksimum taruhan
 %s"
bacc_warning_bet_first,Silahkan menaruh taruhan
bacc_bet_success,Taruhan Berhasil
bacc_bet_failed,Taruhan Gagal
g_bet_time_out,Waktu taruhan habis
bacc_place_your_bet,Pasang taruhanmu sekarang
bacc_warning_maxium_length,Silahkan masukkan maksimal 9 digit angka dan minimal satu desimal
bacc_warning_payouting,"Pembayaran ronde sebelumnya dalam proses, mohon menunggu…"
bacc_squeezing,Buka Kartu
bacc_mi_table_limit,Batas Meja
bacc_mi_banker_limit,Saldo B
bacc_mi_player_limit,Saldo P
bacc_mi_add_time,Tambahan %s detik
bacc_mi_apply,Terapkan
bacc_mi_open_all,Buka semua
bacc_mi_dealer_open_card,Klik pada kartu untuk membiarkan dealer membuka kartu.
bacc_mi_owner_open_card,Anda adalah Pemilik di ronde ini
bacc_mi_has_add_time,Waktu tambahan
bacc_mi_someone_add_time,%s minta tambahan waktu
bacc_mi_wait_owner,Menunggu tangan
bacc_mi_player_owner,Tangan Pemain
bacc_mi_banker_owner,Tangan Banker
bacc_mi_owner,Pemilik
bacc_mi_owner_leave,Meninggalkan kamar
bacc_mi_chips,Chip
bacc_click_begin_any_area,Buka kartu dari sisi manapun
roadmap_big_road,Big Rd
roadmap_bead_road,Bead Rd
roadmap_bigeye_road,Big Eye Rd
roadmap_small_road,Small Rd
roadmap_cockroach_road,Cockroach Rd
probe_banker,Banker
probe_player,Pemain
dt_dragon,Naga
dt_tiger,Harimau
dt_probe_dragon,Dragon road
dt_probe_tiger,Tiger road
sicbo_any_triple,Triple
sicbo_all_triple,Setiap triple
sicbo_sum,Jumlah
g_odd_even,Ganjil/Genap
g_big_small,Besar/Kecil
sicbo_dice,Dadu
g_bet_now,Taruhan
sicbo_single,Single
sicbo_double,Double
sicbo_triple,Triple
g_play_video,Tonton video
g_switch_play,Ganti Mode
g_back_bet,Kembali
g_prev_step,Sebelum
sicbo_together,Kombinasi dua dadu
roulette_red,Merah
roulette_black,Hitam
roulette_1dozen,Dozen pertama
roulette_2dozen,Dozen kedua
roulette_3dozen,Dozen ketiga
roulette_ratio,Rasio
roulette_history,Sejarah
roulette_hot,Populer
roulette_wait_payout,Menunggu pembayaran
roulette_payout_result,Hasil Permainan
roulette_direct,Straight up
roulette_split,Split bet
roulette_street,Street bet
roulette_corner,Corner Bet
roulette_three,Trio bet
roulette_four,4 nomor
roulette_line,Line bet
roulette_column,Kolom
roulette_dozen,Lusin
g_bet,Taruhan
g_payout,Pembayaran
g_rollin,Masukkan
g_rollout,Keluarkan
history_betting_bonus,Bonus Taruhan
history_baborat,Baborat
history_tips,Tip
history_asset_detail,Detail Aset
history_payout_records,Catatan Pembayaran
history_transaction_records,Catatan Transaksi
g_today,Hari ini
hisory_3day,3 hari terakhir
hisory_2week,2 minggu terakhir
g_date,Tanggal
g_game,Pemainan
g_bet_title,Taruhan
g_result,Hasil
history_thing_type,Tipe
history_round_no,Nomor
g_amount,Kredit
history_after,Saldo
history_no_history,Tidak ada catatan tersedia
g_enter_lobby,Lobi
history_all_win,Bonus kemenangan beruntun
history_load_more,Tarik untuk memuat lebih banyak
g_ok_text,Konfirmasi
g_tips_text,Tips
main_title1,MultiPlay
main_title2,Main sekarang
main_title3,Hotline VIP
main_title4,Lobi
main_title5,Rangking
mian_title6,Catatan/Kredit
main_info1,"Bertaruh lebih banyak, menang lebih besar"
main_info2,Permainan terbaik hari ini
main_info3,Layanan 24 jam sehari
main_info4,Pilihan lengkap permainan
main_info6,"Semoga beruntung, Bos"
lobby_info1,Pembayaran dalam dua minggu terakhir
lobby_info2,Jumlah pembayaran hari ini
topbar_setting_userinfo,Profil
topbar_setting_todayrank,Daftar peringkat
topbar_setting_gamenotice,Syarat dan Ketentuan
topbar_setting_logout,Keluar permainan
topbar_setting_systemsetting,Pengaturan
topbar_setting_gamehelp,Bantuan
topbar_setting_soundon,Suara Hidup
topbar_setting_soundoff,Suara Mati
worldmsg_title,Pesan Dunia
rank_title1,Rangking
rank_title2,Nama
rank_title3,Durasi permainan
rank_tips,"Leaderboard akan diperbarui setiap 1 jam sekali, dan semua pembayaran akan dihitung ulang jam 00:00"
rank_tips1,Daftar akan diperbarui setelah jam 01:00
rank_tips2,Rangking pemain tidak tersedia
chat_send,Kirim
chat_please_input,Masukkan pertanyaan Anda…
chat_please_input2,Masukkan…
chat_hold_say,Tekan dan tahan untuk bicara
chat_moveup_del,Geser ke atas untuk membatalkan
chat_loose_del,Jari terlepas dan dibatalkan
chat_voice_tooshort,Pesan suara terlalu pendek
voice_translating,Menerjemahkan sekarang
voice_init,Pesan suara akan secara otomatis dikonversi menjadi teks
chat_loose_send,Lepaskan untuk kirim
chat_tip,Tip %s chip
chat_accessmic,Mohon izinkan penggunaan mikrofon dalam pengaturan telepon genggam
chat_tip_visitor,Chat hanya tersedia untuk pengguna
chat_system_title,Sistem
video_guide,Video Tutorial
rule_sicbo_title,Peraturan Sic-Bo
rule_sicbo_page1_text1,"1. Terdapat tiga Sic-Bo, Pemain memasang taruhan pada beberapa area dalam meja dalam waktu yang telah ditentukan.
 2. Setelah waktu taruhan berakhir, 3 dadu akan dikocok dan hasil permainan akan ditentukan dari jumlah angka pada permukaan dadu.
 3. Jika terdapat dadu yang bertumpuk atau miring sehingga tidak bisa melihat hasil dengan jelas, ronde tersebut tidak sah, dealer akan mengocok ulang dadu sampai hasil bisa dilihat dengan jelas.
 4. Ketika hasil dari permainan berupa triple, taruhan besar, kecil, ganjil, atau genap akan kalah."
rule_sicbo_page1_text1_1,"1. Terdapat tiga Sic-Bo, Pemain memasang taruhan pada beberapa area dalam meja dalam waktu yang telah ditentukan."
rule_sicbo_page1_text1_2,"2. Setelah waktu taruhan berakhir, 3 dadu akan dikocok dan hasil permainan akan ditentukan dari jumlah angka pada permukaan dadu."
rule_sicbo_page1_text1_3,"3. Jika terdapat dadu yang bertumpuk atau miring sehingga tidak bisa melihat hasil dengan jelas, ronde tersebut tidak sah, dealer akan mengocok ulang dadu sampai hasil bisa dilihat dengan jelas."
rule_sicbo_page1_text1_4,"4. Saat hasil game muncul triple semua, taruhan (besar / kecil) atau (tunggal / ganda) dianggap kalah."
rule_sicbo_page2_text1,Grafik tipe taruhan
rule_sicbo_page2_text2,Kombinasi 2 dadu
rule_sicbo_page2_text3,2 Dadu Pair
rule_sicbo_page2_text5,2 Dadu Sama
rule_sicbo_page2_text6,3 Dadu Berbeda
g_payout_list,Diagram pembayaran
g_bet_item,Barang taruhan
g_introductions,Instruksi
rule_sicbo_page3_text1,Papan peluang
g_total_sum,Total poin
rule_sicbo_page3_text2,4 atau 17
rule_sicbo_page3_text3,5 atau 16
rule_sicbo_page3_text4,6 atau 15
rule_sicbo_page3_text5,7 atau 14
rule_sicbo_page3_text6,8 atau 13
rule_sicbo_page3_text7,9 atau 12
rule_sicbo_page3_text8,Total poin adalah 4-10
rule_sicbo_page3_text9,Total poin adalah 11-17
rule_sicbo_page3_text10,"Total poin adalah 5, 7, 9, 11, 13, 15, 17"
rule_sicbo_page3_text11,"Total poin adalah 4, 6, 8, 10, 12, 14, 16"
rule_sicbo_page3_text12,Total poin adalah 4 atau 17
rule_sicbo_page3_text13,Total poin adalah 5 atau 16
rule_sicbo_page3_text14,Total poin adalah 6 atau 15
rule_sicbo_page3_text15,Total poin adalah 7 atau 14
rule_sicbo_page3_text16,Total poin adalah 8 atau 13
rule_sicbo_page3_text17,"Total poin adalah 9, 10, 11 atau 12"
rule_roul_page2_text1,Aturan permainan
rule_roul_page4_text1,Straight up
rule_roul_page4_text2,Split bet
rule_roul_page4_text3,Street bet
rule_roul_page4_text4,Trio bet
rule_roul_page4_text5,Corner Bet
rule_roul_page4_text6,4 nomor
rule_roul_page5_text1,Line bet
rule_roul_page5_text2,Kolom
rule_roul_page5_text3,Lusin
rule_roul_page5_text4,Merah/Hitam
rule_roul_page5_text5,Ganjil/Genap
rule_roul_page5_text6,Besar/Kecil
g_betLimit,%s Batas taruhan: %s sampai %s
g_gold_not_enough,Saldo anda tidak cukup
multi_history_more,Catatan pembayaran
multi_history_you_win,Selamat! Anda memenangkan %s
g_banker_pair_sim,Banker Pair
g_player_pair_sim,Pemain Pair
bet_history_video_downloading,Video sedang diunduh
lobby_login_btn_trial,Ujicoba
lobby_login_btn_register,Registrasi
lobby_login_btn_login,Login
lobby_login_btn_service,Hubungi layanan pelanggan
lobby_login_title_account,Akun
lobby_login_title_password,Kata sandi
lobby_login_warning_logout_btn,Keluar sekarang
lobby_login_warning_logout_title,Kembali ke login
lobby_login_warning_logout,Apakah anda yakin untuk keluar?
lobby_login_warning_password_wrong,"Nama pengguna atau kata sandi salah, Anda masih memiliki %d kesempatan"
login_powerd_by,Powered By
login_game,Login
login_gesture_tip,"Gesture salah, Anda masih dapat mencoba %d kali"
g_warning_account_locked,Akun anda telah dikunci
g_warning_invalid_token,"Akun dan kata sandi anda telah kadaluarsa karena tidak aktif dalam waktu lama, silahkan login ulang"
g_warning_login_wrong_confirm,Saya Mengerti
